,day,closing,alpha,f,yield,datetime
61,2019/4/9,3239.66,0.739581,-1.17834,-0.0006900000000000001,2019-04-09
62,2019/4/10,3241.93,8.06e-10,-0.03456,0.000304,2019-04-10
63,2019/4/11,3189.96,0.41027399999999997,-0.7239800000000001,-0.00702,2019-04-11
64,2019/4/12,3188.63,0.617698,0.386411,-0.00018,2019-04-12
65,2019/4/15,3177.79,0.36535500000000004,0.34389400000000003,-0.00148,2019-04-15
66,2019/4/16,3253.6,0.603963,0.265177,0.010239,2019-04-16
67,2019/4/17,3263.12,0.402495,-0.18195999999999998,0.001269,2019-04-17
68,2019/4/18,3250.2,5.5e-14,-0.5152399999999999,-0.00172,2019-04-18
69,2019/4/19,3270.8,0.5186029999999999,0.558074,0.002744,2019-04-19
70,2019/4/22,3215.04,0.307838,0.369732,-0.00747,2019-04-22
71,2019/4/23,3198.59,0.6400710000000001,-0.47248999999999997,-0.00223,2019-04-23
72,2019/4/24,3201.61,0.027532,0.647644,0.00041,2019-04-24
73,2019/4/25,3123.83,0.098138,-0.0818,-0.01068,2019-04-25
74,2019/4/26,3086.4,0.566761,-0.48417,-0.00524,2019-04-26
75,2019/4/29,3062.5,1.7299999999999998e-18,0.274167,-0.0033799999999999998,2019-04-29
76,2019/4/30,3078.34,5.9e-14,0.637694,0.00224,2019-04-30
77,2019/5/6,2906.46,0.938376,-0.82599,-0.02495,2019-05-06
78,2019/5/7,2926.39,0.165785,-1.01675,0.002968,2019-05-07
79,2019/5/8,2893.76,0.791137,-0.29569,-0.00487,2019-05-08
80,2019/5/9,2850.95,1.939976,-0.90917,-0.00647,2019-05-09
81,2019/5/10,2939.21,1.626795,1.2193399999999999,0.013241,2019-05-10
82,2019/5/13,2903.71,0.383494,0.04548,-0.00528,2019-05-13
83,2019/5/14,2883.61,1.012825,-0.34409,-0.00302,2019-05-14
84,2019/5/15,2938.68,0.280529,0.126226,0.008216,2019-05-15
85,2019/5/16,2955.71,0.700599,-0.68996,0.00251,2019-05-16
86,2019/5/17,2882.3,0.876969,-0.48927,-0.010920000000000001,2019-05-17
87,2019/5/20,2870.6,2.34e-12,1.218401,-0.0017699999999999999,2019-05-20
88,2019/5/21,2905.97,0.823866,-0.23872,0.005318,2019-05-21
89,2019/5/22,2891.7,0.718078,-0.44228,-0.00214,2019-05-22
90,2019/5/23,2852.52,3.54e-13,-0.41778000000000004,-0.00592,2019-05-23
91,2019/5/24,2852.99,0.47523000000000004,-0.17377,7.159999999999999e-05,2019-05-24
92,2019/5/27,2892.38,5.35e-13,-0.46468999999999994,0.005954999999999999,2019-05-27
93,2019/5/28,2909.91,1.14e-09,-0.35577,0.002624,2019-05-28
94,2019/5/29,2914.7,1.856096,-0.64581,0.000714,2019-05-29
95,2019/5/30,2905.81,5.04e-10,-0.62227,-0.00133,2019-05-30
96,2019/5/31,2898.7,0.5042439999999999,0.338798,-0.00106,2019-05-31
97,2019/6/3,2890.08,1e-10,0.32614099999999996,-0.0012900000000000001,2019-06-03
98,2019/6/4,2862.28,0.837618,-0.40607,-0.0042,2019-06-04
99,2019/6/5,2861.42,1.7299999999999998e-18,-0.031160000000000004,-0.00013000000000000002,2019-06-05
100,2019/6/6,2827.8,4.2999999999999996e-10,0.368167,-0.00513,2019-06-06
101,2019/6/10,2852.13,0.454584,0.793566,0.003721,2019-06-10
102,2019/6/11,2925.72,0.511332,0.419332,0.011063,2019-06-11
103,2019/6/12,2909.38,0.153074,-0.57304,-0.00243,2019-06-12
104,2019/6/13,2910.74,1.3924020000000001,-1.04542,0.00020299999999999997,2019-06-13
105,2019/6/14,2881.97,0.635954,-1.32533,-0.0043100000000000005,2019-06-14
106,2019/6/17,2887.62,0.546619,-0.6766399999999999,0.000851,2019-06-17
107,2019/6/18,2890.16,0.832844,-0.33931,0.00038199999999999996,2019-06-18
108,2019/6/19,2917.8,0.054782000000000004,0.019632,0.0041340000000000005,2019-06-19
109,2019/6/20,2987.12,1.127174,0.22478299999999998,0.010197,2019-06-20
110,2019/6/21,3001.98,0.537293,0.57586,0.0021550000000000002,2019-06-21
111,2019/6/24,3008.15,0.7966850000000001,0.551139,0.000892,2019-06-24
112,2019/6/25,2982.07,0.784025,0.163192,-0.0037799999999999995,2019-06-25
113,2019/6/26,2976.28,8.670000000000001e-19,0.000188,-0.00084,2019-06-26
114,2019/6/27,2996.79,0.335337,0.11218199999999999,0.002983,2019-06-27
115,2019/6/28,2978.88,0.013953,0.376865,-0.0026,2019-06-28
116,2019/7/1,3044.9,1.158308,0.6932699999999999,0.00952,2019-07-01
117,2019/7/2,3043.94,0.387021,0.964835,-0.00014,2019-07-02
118,2019/7/3,3015.26,0.837009,-0.1903,-0.00411,2019-07-03
119,2019/7/4,3005.25,0.057477999999999994,0.368689,-0.00144,2019-07-04
120,2019/7/5,3011.06,1.3106209999999998,-0.3096,0.000839,2019-07-05
121,2019/7/8,2933.36,0.583379,0.391793,-0.01135,2019-07-08
122,2019/7/9,2928.23,1.019703,-0.28967,-0.0007599999999999999,2019-07-09
123,2019/7/10,2915.3,0.7988069999999999,0.093283,-0.0019199999999999998,2019-07-10
124,2019/7/11,2917.76,0.702494,0.6151810000000001,0.000366,2019-07-11
125,2019/7/12,2930.55,0.355979,0.679381,0.0019,2019-07-12
126,2019/7/15,2942.19,0.436071,0.659882,0.0017219999999999998,2019-07-15
